ID,domain1_score,Score,gold_score,pred_score,difference,abs_difference
20836,40,45,40,45,5,5
4408,3,2,3,2,-1,1
19009,15,10,15,10,-5,5
3062,3,4,3,4,1,1
1377,8,5,8,5,-3,3
15338,2,1,2,1,-1,1
834,10,6,10,6,-4,4
12081,4,3,4,3,-1,1
6340,3,2,3,2,-1,1
16483,4,4,4,4,0,0
3284,4,3,4,3,-1,1
21056,48,55,48,55,7,7
1462,7,4,7,4,-3,3
7636,1,1,1,1,0,0
1575,9,2,9,2,-7,7
3727,3,2,3,2,-1,1
16190,4,4,4,4,0,0
9643,2,3,2,3,1,1
18588,23,22,23,22,-1,1
12037,3,3,3,3,0,0
13228,2,1,2,1,-1,1
18180,17,15,17,15,-2,2
6462,3,0,3,0,-3,3
15723,3,4,3,4,1,1
16465,3,4,3,4,1,1
3493,2,2,2,2,0,0
957,9,8,9,8,-1,1
12809,2,1,2,1,-1,1
10462,1,0,1,0,-1,1
13011,1,0,1,0,-1,1
13159,2,0,2,0,-2,2
3869,3,3,3,3,0,0
12416,2,1,2,1,-1,1
3498,4,3,4,3,-1,1
9446,1,1,1,1,0,0
18557,17,15,17,15,-2,2
217,10,8,10,8,-2,2
12662,2,2,2,2,0,0
9472,1,1,1,1,0,0
12614,2,1,2,1,-1,1
9357,2,2,2,2,0,0
611,9,2,9,2,-7,7
9852,2,3,2,3,1,1
15960,0,0,0,0,0,0
14946,3,3,3,3,0,0
12982,2,3,2,3,1,1
12218,2,2,2,2,0,0
7406,1,1,1,1,0,0
1602,10,8,10,8,-2,2
19403,21,10,21,10,-11,11
6400,2,1,2,1,-1,1
15157,3,2,3,2,-1,1
19239,19,18,19,18,-1,1
491,8,2,8,2,-6,6
9383,1,2,1,2,1,1
15590,3,4,3,4,1,1
1411,11,8,11,8,-3,3
12769,2,2,2,2,0,0
18835,22,20,22,20,-2,2
15923,4,3,4,3,-1,1
12073,2,1,2,1,-1,1
7344,3,3,3,3,0,0
21068,36,45,36,45,9,9
13147,4,2,4,2,-2,2
568,8,4,8,4,-4,4
19406,23,22,23,22,-1,1
4316,3,3,3,3,0,0
18358,15,10,15,10,-5,5
9854,1,1,1,1,0,0
1332,9,8,9,8,-1,1
21441,41,45,41,45,4,4
12305,3,4,3,4,1,1
7283,1,2,1,2,1,1
6003,3,3,3,3,0,0
4644,2,1,2,1,-1,1
382,7,8,7,8,1,1
11863,3,2,3,2,-1,1
18031,9,10,9,10,1,1
6077,1,1,1,1,0,0
21436,37,40,37,40,3,3
859,12,6,12,6,-6,6
7182,1,1,1,1,0,0
1647,6,4,6,4,-2,2
9328,0,1,0,1,1,1
16024,3,3,3,3,0,0
11852,2,3,2,3,1,1
6103,2,3,2,3,1,1
19352,22,20,22,20,-2,2
3598,3,3,3,3,0,0
15427,3,4,3,4,1,1
12635,1,0,1,0,-1,1
20901,40,50,40,50,10,10
1665,9,8,9,8,-1,1
15438,3,3,3,3,0,0
9050,1,3,1,3,2,2
16378,1,0,1,0,-1,1
9597,2,2,2,2,0,0
4481,3,2,3,2,-1,1
15529,3,2,3,2,-1,1
16019,3,4,3,4,1,1
1184,10,6,10,6,-4,4
1368,7,3,7,3,-4,4
6453,1,3,1,3,2,2
11914,1,1,1,1,0,0
161,10,6,10,6,-4,4
19170,20,12,20,12,-8,8
4722,2,2,2,2,0,0
13438,3,2,3,2,-1,1
8920,0,0,0,0,0,0
21584,30,45,30,45,15,15
18769,12,10,12,10,-2,2
21057,40,50,40,50,10,10
21181,40,45,40,45,5,5
16491,3,4,3,4,1,1
13077,1,0,1,0,-1,1
18502,17,12,17,12,-5,5
12403,4,3,4,3,-1,1
9295,2,1,2,1,-1,1
10225,1,1,1,1,0,0
6623,2,2,2,2,0,0
3864,4,3,4,3,-1,1
7014,1,1,1,1,0,0
1188,8,6,8,6,-2,2
6849,3,3,3,3,0,0
881,8,2,8,2,-6,6
1219,8,7,8,7,-1,1
9432,2,2,2,2,0,0
15136,3,4,3,4,1,1
13380,1,1,1,1,0,0
15730,2,2,2,2,0,0
15817,3,2,3,2,-1,1
21468,35,45,35,45,10,10
7165,3,2,3,2,-1,1
19303,14,10,14,10,-4,4
1759,10,6,10,6,-4,4
9882,1,1,1,1,0,0
21389,20,0,20,0,-20,20
6252,1,1,1,1,0,0
3067,4,2,4,2,-2,2
18310,7,5,7,5,-2,2
9491,1,1,1,1,0,0
18926,18,12,18,12,-6,6
15742,3,4,3,4,1,1
9166,2,3,2,3,1,1
12101,4,2,4,2,-2,2
1145,9,8,9,8,-1,1
406,8,2,8,2,-6,6
15984,2,1,2,1,-1,1
19542,15,10,15,10,-5,5
18169,13,8,13,8,-5,5
10179,1,2,1,2,1,1
4391,3,3,3,3,0,0
16106,3,4,3,4,1,1
18271,20,20,20,20,0,0
6196,1,1,1,1,0,0
3732,3,2,3,2,-1,1
20825,33,35,33,35,2,2
8870,2,2,2,2,0,0
8896,2,3,2,3,1,1
4538,4,3,4,3,-1,1
1157,6,4,6,4,-2,2
6406,2,2,2,2,0,0
9273,0,1,0,1,1,1
9784,2,3,2,3,1,1
515,8,4,8,4,-4,4
20936,44,50,44,50,6,6
6483,3,3,3,3,0,0
10318,2,1,2,1,-1,1
21000,30,50,30,50,20,20
13338,2,2,2,2,0,0
9025,1,1,1,1,0,0
21295,45,50,45,50,5,5
3538,3,2,3,2,-1,1
9967,3,3,3,3,0,0
10505,2,2,2,2,0,0
10530,2,3,2,3,1,1
10378,1,1,1,1,0,0
16469,3,4,3,4,1,1
13256,2,2,2,2,0,0
808,7,4,7,4,-3,3
15479,3,2,3,2,-1,1
7426,1,1,1,1,0,0
6877,2,3,2,3,1,1
21214,40,45,40,45,5,5
1696,9,8,9,8,-1,1
16582,3,4,3,4,1,1
3919,4,5,4,5,1,1
19316,11,10,11,10,-1,1
6293,2,2,2,2,0,0
13167,1,0,1,0,-1,1
6926,3,3,3,3,0,0
1143,8,10,8,10,2,2
13068,2,3,2,3,1,1
13481,3,2,3,2,-1,1
9752,1,2,1,2,1,1
6847,1,2,1,2,1,1
18384,13,0,13,0,-13,13
7555,1,2,1,2,1,1
16595,4,4,4,4,0,0
1456,10,4,10,4,-6,6
8984,1,1,1,1,0,0
10082,2,2,2,2,0,0
18858,10,10,10,10,0,0
16218,3,3,3,3,0,0
10013,2,3,2,3,1,1
6033,3,3,3,3,0,0
15635,3,3,3,3,0,0
12943,3,4,3,4,1,1
1785,8,3,8,3,-5,5
10191,2,3,2,3,1,1
8991,0,0,0,0,0,0
19430,14,15,14,15,1,1
9444,2,3,2,3,1,1
1630,10,6,10,6,-4,4
15420,2,2,2,2,0,0
21209,42,45,42,45,3,3
9549,1,1,1,1,0,0
18427,16,10,16,10,-6,6
1072,8,4,8,4,-4,4
6097,1,1,1,1,0,0
12272,3,1,3,1,-2,2
4761,3,2,3,2,-1,1
18503,16,15,16,15,-1,1
3819,4,2,4,2,-2,2
3933,3,1,3,1,-2,2
13553,3,1,3,1,-2,2
12964,3,3,3,3,0,0
13036,2,4,2,4,2,2
15913,0,1,0,1,1,1
10594,1,2,1,2,1,1
19337,6,5,6,5,-1,1
16065,4,4,4,4,0,0
7599,3,2,3,2,-1,1
6188,0,0,0,0,0,0
4280,3,3,3,3,0,0
5,8,6,8,6,-2,2
6812,1,1,1,1,0,0
1505,9,6,9,6,-3,3
10048,2,1,2,1,-1,1
9346,3,3,3,3,0,0
7138,1,2,1,2,1,1
51,9,6,9,6,-3,3
6062,1,2,1,2,1,1
15075,1,1,1,1,0,0
4667,4,3,4,3,-1,1
9180,1,1,1,1,0,0
20922,37,45,37,45,8,8
16103,0,0,0,0,0,0
15332,3,3,3,3,0,0
1063,10,8,10,8,-2,2
9007,2,3,2,3,1,1
4577,5,4,5,4,-1,1
19179,21,20,21,20,-1,1
12350,3,4,3,4,1,1
9741,3,3,3,3,0,0
21403,41,48,41,48,7,7
8992,0,0,0,0,0,0
6920,2,1,2,1,-1,1
7026,3,3,3,3,0,0
16197,3,3,3,3,0,0
6257,1,0,1,0,-1,1
12867,3,2,3,2,-1,1
769,10,8,10,8,-2,2
6890,2,2,2,2,0,0
19202,24,25,24,25,1,1
3946,4,4,4,4,0,0
6424,2,3,2,3,1,1
9627,2,2,2,2,0,0
838,5,3,5,3,-2,2
3612,4,3,4,3,-1,1
914,9,6,9,6,-3,3
13290,3,2,3,2,-1,1
12946,2,0,2,0,-2,2
11935,1,0,1,0,-1,1
7328,1,2,1,2,1,1
15433,3,3,3,3,0,0
10000,0,0,0,0,0,0
20894,36,30,36,30,-6,6
15336,4,4,4,4,0,0
7567,2,1,2,1,-1,1
4745,3,2,3,2,-1,1
3872,4,2,4,2,-2,2
954,10,2,10,2,-8,8
4455,4,4,4,4,0,0
1536,4,4,4,4,0,0
20899,37,45,37,45,8,8
9622,2,2,2,2,0,0
14908,2,4,2,4,2,2
782,11,2,11,2,-9,9
20917,38,35,38,35,-3,3
19311,23,20,23,20,-3,3
6571,2,2,2,2,0,0
11906,4,3,4,3,-1,1
12435,0,0,0,0,0,0
3924,3,2,3,2,-1,1
4553,4,3,4,3,-1,1
18861,17,0,17,0,-17,17
1005,9,8,9,8,-1,1
3983,5,5,5,5,0,0
1573,10,6,10,6,-4,4
152,6,8,6,8,2,2
21570,31,45,31,45,14,14
191,8,8,8,8,0,0
20844,30,25,30,25,-5,5
4357,3,3,3,3,0,0
7049,2,2,2,2,0,0
1534,9,4,9,4,-5,5
14961,3,2,3,2,-1,1
15209,3,4,3,4,1,1
4618,3,2,3,2,-1,1
7572,2,3,2,3,1,1
12155,3,4,3,4,1,1
3843,3,3,3,3,0,0
400,8,2,8,2,-6,6
10246,1,2,1,2,1,1
12932,1,2,1,2,1,1
10438,0,0,0,0,0,0
4497,4,4,4,4,0,0
12027,2,2,2,2,0,0
19495,13,10,13,10,-3,3
12931,3,3,3,3,0,0
6096,2,1,2,1,-1,1
19480,12,10,12,10,-2,2
3582,3,1,3,1,-2,2
16489,3,3,3,3,0,0
10138,0,0,0,0,0,0
13391,2,0,2,0,-2,2
20846,34,42,34,42,8,8
17854,21,12,21,12,-9,9
543,8,5,8,5,-3,3
6708,1,0,1,0,-1,1
6187,1,1,1,1,0,0
13009,3,2,3,2,-1,1
15472,3,1,3,1,-2,2
9226,0,0,0,0,0,0
19429,20,0,20,0,-20,20
10126,0,0,0,0,0,0
4066,3,2,3,2,-1,1
3264,2,3,2,3,1,1
14882,4,4,4,4,0,0
12057,1,0,1,0,-1,1
8938,1,0,1,0,-1,1
3917,3,2,3,2,-1,1
18727,9,12,9,12,3,3
18144,16,12,16,12,-4,4
16248,3,3,3,3,0,0
21505,40,45,40,45,5,5
7063,2,3,2,3,1,1
3012,3,3,3,3,0,0
6580,2,3,2,3,1,1
856,10,4,10,4,-6,6
9422,3,3,3,3,0,0
15322,2,3,2,3,1,1
12045,2,2,2,2,0,0
6203,3,3,3,3,0,0
19477,16,20,16,20,4,4
19410,16,12,16,12,-4,4
12624,2,1,2,1,-1,1
4050,2,1,2,1,-1,1
21608,40,35,40,35,-5,5
1401,10,6,10,6,-4,4
9582,0,1,0,1,1,1
15582,3,4,3,4,1,1
12215,1,0,1,0,-1,1
12356,1,0,1,0,-1,1
21433,35,50,35,50,15,15
4238,3,3,3,3,0,0
15147,3,3,3,3,0,0
16379,2,2,2,2,0,0
10204,2,3,2,3,1,1
10385,0,0,0,0,0,0
6688,1,1,1,1,0,0
4583,3,3,3,3,0,0
13234,3,1,3,1,-2,2
10439,1,2,1,2,1,1
3991,4,2,4,2,-2,2
15589,2,3,2,3,1,1
18134,12,12,12,12,0,0
12688,2,1,2,1,-1,1
17893,18,10,18,10,-8,8
9710,2,2,2,2,0,0
15914,3,4,3,4,1,1
16152,3,2,3,2,-1,1
18664,19,20,19,20,1,1
6155,1,2,1,2,1,1
20822,45,50,45,50,5,5
6598,1,1,1,1,0,0
1147,9,6,9,6,-3,3
9898,2,2,2,2,0,0
7573,1,1,1,1,0,0
421,6,6,6,6,0,0
2987,4,5,4,5,1,1
